agent,scenario_label,n,high_cost_n,high_cost_rate
Copilot,S2_Human_coedited,1487,1312,0.8823133826496301
Devin,S1_Human_reviewed,1541,1349,0.8754055807916937
Devin,S2_Human_coedited,1372,1077,0.7849854227405247
Copilot,S1_Human_reviewed,2056,1525,0.7417315175097277
Cursor,S2_Human_coedited,476,315,0.6617647058823529
Cursor,S1_Human_reviewed,281,171,0.608540925266904
Claude_Code,S2_Human_coedited,253,150,0.5928853754940712
Devin,S0_Solo_agent,1914,808,0.4221525600835946
Claude_Code,S1_Human_reviewed,54,21,0.3888888888888889
OpenAI_Codex,S1_Human_reviewed,273,91,0.3333333333333333
Cursor,S0_Solo_agent,784,153,0.1951530612244898
OpenAI_Codex,S2_Human_coedited,14738,1368,0.09282127832813136
Claude_Code,S0_Solo_agent,152,11,0.07236842105263158
OpenAI_Codex,S0_Solo_agent,6788,220,0.03241013553329405
Copilot,S0_Solo_agent,1427,43,0.030133146461107218
